Application Name;Application Version;Application Publisher;Application Uninstall
F-Secure Server Security Premium - Protection virus et logiciels espions;9.52.240;F-Secure Corporation;"""C:\Program Files\F-Secure\Uninstall\fsuninst.exe"" /UninstRegKey:""F-Secure Anti-Virus"""
F-Secure Server Security Premium - Utilitaire de mise à jour logicielle;2.00.1358;F-Secure Corporation;"""C:\Program Files (x86)\F-Secure\Uninstall\fsuninst.exe"" /UninstRegKey:""F-Secure Software Updater"""
F-Secure Server Security Premium - Utilitaire de mise à jour logicielle;2.21.1633;F-Secure Corporation;"""C:\Program Files (x86)\F-Secure\Uninstall\fsuninst.exe"" /UninstRegKey:""F-Secure Software Updater"""
F-Secure Server Security Premium - Utilitaire de mise à jour logicielle;2.21.1633;F-Secure Corporation;"""C:\Program Files\F-Secure\Uninstall\fsuninst.exe"" /UninstRegKey:""F-Secure Software Updater"""
F-Secure Server Security Premium 11.01;11.01;F-Secure Corporation;MsiExec.exe /qn /norestart /X{3A2395F7-417E-4E15-A6A1-3D48379A6C3C}
F-Secure Server Security Premium 12.12;12.12;F-Secure Corporation;
fi Series manuals for fi-7160/7260/7180/7280;1.04.01;PFU LIMITED;"""C:\Program Files (x86)\InstallShield Installation Information\{4990B5DB-7D59-4FEB-A118-BBE7C584381F}\setup.exe"" -runfromtemp -l0x040c UNINSTALL -removeonly"
fi Series Online Update;1.2.6.2;PFU LIMITED;MsiExec.exe /qn /norestart /X{B86F4CE1-B0EB-4A50-BC64-B20A76BB96E0}
Fichiers de support d'installation de Microsoft SQL Server 2008;10.1.2731.0;Microsoft Corporation;MsiExec.exe /qn /norestart /X{308350C4-5DA5-4035-A69B-12600021C9FA}
FICHSUP MCO;10.8.4.0;ATIH;MsiExec.exe /qn /norestart /X{B2F4818A-01BA-4151-86EE-C6E680601CA8}
FICHSUP-MCO 10.1.0;10.1.0;ATIH;"""C:\Program Files (x86)\POP-T2A\FICHSUP\uninst.exe"""
FICHSUP-MCO DGF 10.8.3.0;10.8.3.0;ATIH;"""C:\Program Files (x86)\POP-T2A\FICHSUP\uninst.exe"""
FileZilla Client 3.17.0;3.17.0;Tim Kosse;"""C:\Program Files\FileZilla FTP Client\uninstall.exe"""
FileZilla Client 3.17.0.1;3.17.0.1;Tim Kosse;"""C:\Program Files\FileZilla FTP Client\uninstall.exe"""
FileZilla Client 3.38.1;3.38.1;Tim Kosse;"""C:\Program Files\FileZilla FTP Client\uninstall.exe"""
FileZilla Server;beta 0.9.41;FileZilla Project;"""C:\Program Files\FileZilla Server\uninstall.exe"""
Firebird 2.0.4.13130 (win32);2.0.4.13130;Firebird Project;"""C:\Program Files (x86)\Firebird\Firebird_2_0\unins000.exe"" /SILENT"
Firebird 2.0.4.13130 (win32);2.0.4.13130;Firebird Project;"""C:\Program Files\Firebird\Firebird_2_0\unins000.exe"" /SILENT"
FlashBack Express 5;5.33.0.4392;Blueberry Software (UK) Ltd.;"""C:\Program Files (x86)\Blueberry Software\FlashBack Express 5\uninstall.exe"""
FlashBack Express 5 (French);5.26.0.4270;Blueberry Software (UK) Ltd.;"""C:\Program Files (x86)\Blueberry Software\FlashBack Express 5 (French)\uninstall.exe"""
FlexiCombiConnect;1.2.22.5;MKN;MsiExec.exe /qn /norestart /X{FB2A90CD-B4CD-4B01-8E03-64D2AE60760E}
Fournisseur Microsoft OLE DB AS pour SQL Server 2012;11.1.3000.0;Microsoft Corporation;MsiExec.exe /qn /norestart /X{E076FE11-14D3-49F0-9CFF-C4BCDF530699}
Foxit PhantomPDF;6.0.23.427;Foxit Corporation;MsiExec.exe /qn /norestart /X{5CFE00C7-06D8-426A-8370-2962A40DAE1C}
Foxit Reader;8.3.2.25013;Foxit Software Inc.;"""C:\Program Files (x86)\Foxit Software\Foxit Reader\unins000.exe"" /SILENT"
Foxit Reader;9.0.1.1049;Foxit Software Inc.;"""C:\Program Files (x86)\Foxit Software\Foxit Reader\unins000.exe"" /SILENT"
Foxit Reader;9.0.1.1049;Foxit Software Inc.;"""C:\Program Files\Foxit Software\Foxit Reader\unins000.exe"" /SILENT"
fr_31.00.0010;31.00.0010;Siemens AG;MsiExec.exe /qn /norestart /X{03AD4EA0-A045-11DD-AA8D-9F734228A5D4}
fr_36.02.0008;36.02.0008;;
fr_36.02.0008;36.02.0008;Siemens AG;MsiExec.exe /qn /norestart /X{4513DBD0-3898-11E2-9B59-BF7974CAE865}
Free DWG Viewer 6.3;6.3;IGC;"RunDll32 C:\PROGRA~2\COMMON~1\INSTAL~1\PROFES~1\RunTime\10\01\Intel32\Ctor.dll,LaunchSetup ""C:\Program Files (x86)\InstallShield Installation Information\{B8B4D43C-EAA0-4EEC-B93E-D4D012316286}\setup.exe"" -l0x9  -removeonly"
Free DWG Viewer 7.2;7.2.0.69;IGC;MsiExec.exe /qn /norestart /X{90751489-B709-4D2F-8634-FEE00BFEC41A}
Free Webcam Recorder;1.0.0;freepicturesolutions;MsiExec.exe /qn /norestart /X{EDA2F047-79B6-46E2-8323-28086E1BA51D}
Freecell Collection 7.0;7.0;;"""C:\WINDOWS\st6unst.exe"" -n ""C:\Program Files (x86)\Freecell Collection 7.0\ST6UNST.LOG"""
Freecell Collection 7.0 (C:\Program Files (x86)\Freecell Collection 7.0\);7.0;;"""C:\WINDOWS\st6unst.exe"" -n ""C:\Program Files (x86)\Freecell Collection 7.0\ST6UNST.000"""
FreeMind;1.0.1;;"""C:\Program Files\FreeMind\unins000.exe"" /SILENT"
FreeStyle Auto-Assist;2.0.3682.0;Abbott Diabetes Care;"""C:\Program Files (x86)\InstallShield Installation Information\{ABA4BACF-C0E8-45FD-BDC7-92D1E7161183}\setup.exe"" -runfromtemp -l0x0409  -removeonly"
FreeStyle Auto-Assist;2.0.3682.0;Abbott Diabetes Care;"""C:\Program Files\InstallShield Installation Information\{ABA4BACF-C0E8-45FD-BDC7-92D1E7161183}\setup.exe"" -runfromtemp -l0x0409  -removeonly"
FreeStyle Libre;1.0;Abbott Diabetes Care;"""C:\Program Files (x86)\FreeStyle Libre\Uninstall FreeStyleLibre.exe"""
FrontMotion Firefox Community Edition (fr);27.0.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{9EA6F46C-7EE8-459D-885C-CC6524D6E656}
FrontMotion Firefox Community Edition (fr);44.0.2.0;FrontMotion;MsiExec.exe /qn /norestart /X{415C4937-22D8-4A58-81EB-1F727274E19C}
FrontMotion Firefox Community Edition (fr);44.0.2.0;FrontMotion;MsiExec.exe /qn /norestart /X{F44A0329-6659-413F-9A04-5F722F45BBB8}
FrontMotion Firefox Community Edition (fr);46.0.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{F380B8AB-0C2E-4D6F-9FED-F715F6E4D170}
FrontMotion Firefox Community Edition (fr);47.0.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{098CCAC1-5470-475D-A665-9DB284C29641}
FrontMotion Firefox Community Edition (fr);50.1.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{645DADAA-01FB-4FC8-A28C-8D0B7AE2C795}
FrontMotion Firefox Community Edition (fr);63.0.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{26B49E55-C572-43B5-903B-D119FE6FE2C8}
FrontMotion Firefox Community Edition (fr);66.0.2.0;FrontMotion;MsiExec.exe /qn /norestart /X{91662FDF-FBE5-4E3F-8ACB-9F4E46A3274D}
FrontMotion Firefox Community Edition (fr);9.0.1;FrontMotion;MsiExec.exe /qn /norestart /X{E1AC1949-D7DA-487D-8B74-8AA3D3EE2AA3}
FrontMotion Firefox Community Edition ESR (fr);31.6.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{B8984302-3B24-4A2C-ACDC-0D671E8EB705}
FrontMotion Firefox Community Edition ESR (fr);38.0.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{4CA182BB-5F33-4847-82F8-A946EDF47276}
FrontMotion Firefox Community Edition ESR (fr);52.4.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{CA8093DD-A3F6-446A-9926-F7B7FEC5A973}
FrontMotion Firefox Community Edition ESR (fr);52.8.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{942C135E-D482-44FE-AD9C-5F8CAD92A650}
FrontMotion Firefox Community Edition ESR (fr);60.2.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{D7F23D60-8247-40FA-903D-2BAB8BC71963}
FrontMotion Firefox Community Edition ESR (fr);60.3.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{BC9F55C3-4351-4C42-A182-ACFF23A9A4F1}
FrontMotion Firefox Community Edition ESR (fr);60.6.1.0;FrontMotion;MsiExec.exe /qn /norestart /X{321D8FF8-597E-45FE-A4A0-644A2CC12607}
FrontMotion Firefox Community Edition ESR (fr);60.7.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{0790845E-B935-4229-A196-7A0F10AEDAAA}
FrontMotion Firefox Community Edition ESR (fr);60.7.0.0;FrontMotion;MsiExec.exe /qn /norestart /X{250E2A6F-A418-4B38-AC97-CD425F07E0A4}
FUJITSU Scanner USB HotFix;1.00.0000;PFU;"""C:\Program Files (x86)\InstallShield Installation Information\{F7FFF37F-DB74-408C-840F-BD8B8E955B5B}\setup.exe"" -runfromtemp -l0x040c -removeonly"
FusionInventory Agent;2.2.6-1;FusionInventory Team;"""C:\Program Files (x86)\FusionInventory-Agent\uninstFI.exe"""
FusionInventory Agent;2.2.6-1;FusionInventory Team;"""C:\Program Files\FusionInventory-Agent\uninstFI.exe"""
FusionInventory Agent 2.3.16 (x64 edition);2.3.16;FusionInventory Team;"""C:\Program Files\FusionInventory-Agent\Uninstall.exe"""
FusionInventory Agent 2.3.16 (x86 edition);2.3.16;FusionInventory Team;"""C:\Program Files\FusionInventory-Agent\Uninstall.exe"""
FusionInventory Agent 2.3.18 (x64 edition);2.3.18;FusionInventory Team;"""C:\Program Files\FusionInventory-Agent\Uninstall.exe"""
FusionInventory Agent 2.3.18 (x86 edition);2.3.18;FusionInventory Team;"""C:\Program Files\FusionInventory-Agent\Uninstall.exe"""
G2IT;2017.1.6.0;ASP GMAO;"""C:\Program Files (x86)\ASP-GMAO\G2IT\unins000.exe"" /SILENT"
G2IT;2017.1.6.0;ASP GMAO;"""C:\Program Files\ASP-GMAO\G2IT\unins000.exe"" /SILENT"
G2ITWeb;2017.0.18.0;ASP GMAO;"""C:\ASP-GMAO\unins000.exe"" /SILENT"
G2ITWeb;2017.0.18.0;ASP GMAO;"""C:\Reseau\APACHE2\htdocs\ASP-GMAO\unins000.exe"" /SILENT"
GALSS v3.34;3.34.00;GIE SESAM-Vitale;MsiExec.exe /qn /norestart /X{CD027727-8D3C-4ABC-99CA-92247BA22933}
GALSS v3.36;3.36.01;GIE SESAM-Vitale;MsiExec.exe /qn /norestart /X{674C6EFF-8591-48AB-94AB-D9DC35F9BB5E}
GALSS v3.43;3.43.04;GIE SESAM-Vitale;MsiExec.exe /qn /norestart /X{97BC0B9B-6B3F-426B-9DAD-FF5E4729F6B7}
GALSS v3.43 x64;3.43.04;GIE SESAM-Vitale;MsiExec.exe /qn /norestart /X{CF289087-3CE6-49B1-90E3-580498B8A529}
Gamma_Alerteur version 2.0.0.4;2.0.0.4;@m2c;"""C:\Program Files (x86)\@m2c\unins000.exe"" /SILENT"
Genetec Auto Update;2.2.85.1;Genetec Inc.;MsiExec.exe /qn /norestart /X{8C72F854-8ED0-4712-B877-68FB4E0B6FFD}
Genetec Auto Update;2.2.99.0;Genetec Inc.;MsiExec.exe /qn /norestart /X{A1C5F814-41E2-4E2C-9848-BAF3D7847DC8}
Genetec KiwiVision™ Video Analytics;4.1.578.7;Genetec Inc.;MsiExec.exe /qn /norestart /X{616EB1E1-18E2-4AE4-9DE5-D1278ACF2CD5}
Genetec Plan Manager 10.3;10.3.530.51;Genetec Inc.;MsiExec.exe /qn /norestart /X{6C37A5C2-1FFB-4CDE-A9FD-A73DA63704F7}
Genetec Security Center 5.3;5.3.1502.22;Genetec Inc.;MsiExec.exe /qn /norestart /X{E0CA50F3-2B3E-41E8-9E28-4B7165B27B4B}
Genetec Security Center 5.7;5.7.1080.11;Genetec Inc.;MsiExec.exe /qn /norestart /X{BB2FF8E7-16AB-467E-95AA-571CFF3FB748}
Genetec Security Center 5.7;5.7.809.45;Genetec Inc.;MsiExec.exe /qn /norestart /X{47B220EE-4943-4226-A78E-19B5DFB31CB5}
Genetec Security Center Installer;5.7.1080.11;Genetec Inc.;"""C:\Program Files (x86)\InstallShield Installation Information\{36743381-0BD2-44D9-84C8-51783FCF316E}\Security Center Setup.exe"" -remove -runfromtemp"
Genetec Security Center Installer;5.7.809.45;Genetec Inc.;"""C:\Program Files (x86)\InstallShield Installation Information\{36743381-0BD2-44D9-84C8-51783FCF316E}\Security Center Setup.exe"" -remove -runfromtemp"
Genetec Security Center Plugins - KiwiVision Video Analytics;4.0.92.0;Genetec Inc.;MsiExec.exe /qn /norestart /X{1F24C597-D15C-41D7-B8C0-86B69E443C5A}
Genetec Update Service;2.2.85.1;Genetec Inc.;MsiExec.exe /qn /norestart /X{13F94149-4421-4466-B40B-9836994E1559}
Genetec Update Service;2.2.99.0;Genetec Inc.;MsiExec.exe /qn /norestart /X{F0910275-2753-4DFE-B265-97A6C8F83B82}
Genetec Video Player 5.7;5.7.12.0;Genetec Inc.;MsiExec.exe /qn /norestart /X{69D7A09E-3CE2-4D2B-A266-182185B255DB}
Genetec Video Player 5.7;5.7.13.0;Genetec Inc.;MsiExec.exe /qn /norestart /X{3BFD8E73-E9D5-43E0-8114-8531ACB12F03}
GENRHA;8.4.0.1;ATIH;MsiExec.exe /qn /norestart /X{02370AF4-7EC9-4727-9BCB-556541382F0D}
GENRHA;8.5.2.0;ATIH;MsiExec.exe /qn /norestart /X{AC525D13-7743-4BDD-A07C-3FB7893A9CE0}
GENRSA 15.1.3.0;15.1.3.0;ATIH;"""C:\Program Files (x86)\ATIH\GENRSA\uninst.exe"""
GENRSALAMDA 2.0.0.1;2.0.0.1;ATIH;"""C:\Program Files (x86)\ATIH\GENRSALAMDA\uninst.exe"""
Gestionnaire universel Elo 5.5.3;5.5.3;Elo Touch Solutions;C:\Program Files\Elo Touch Solutions\EloSetup /u
GetFormsOnline Internet Explorer Homepage and New Tab;;Mindspark Interactive Network, Inc.;"Rundll32.exe ""C:\Users\007269\AppData\Local\GetFormsOnlineTooltab\TooltabExtension.dll"" U uninstall:GetFormsOnline"
Gildas Hospilog 5.1.0.0;5.1.0.0;KLS Logistic Systems;"""C:\Program Files\KLS\WM_PC\unins000.exe"" /SILENT"
GIMP 2.10.6;2.10.6;The GIMP Team;"""C:\Program Files\GIMP 2\uninst\unins000.exe"" /SILENT"
GIMP 2.10.8;2.10.8;The GIMP Team;"""C:\Program Files\GIMP 2\uninst\unins000.exe"" /SILENT"
GIMP 2.8.22;2.8.22;The GIMP Team;"""C:\Program Files\GIMP 2\uninst\unins000.exe"" /SILENT"
Gina Star TLC 6;6.0.5.6362;Elysia S.A.;"""C:\Program Files (x86)\raytest\Gina_Star_TLC_6\unins000.exe"" /SILENT"
Gizmo Central;v2.7.9;Arainia Solutions, LLC;"""C:\Program Files (x86)\Gizmo\gdirector.exe"" /Uninstall"
Glims 9 Oracle client;9;MIPS;"""C:\Program Files (x86)\InstallShield Installation Information\{19EF83A6-00BA-4ECB-AE68-DC1DED161799}\setup.exe"" -runfromtemp -l0x0409  -removeonly"
GLOBAL IMAGING ONLINE - GXD5 Ris;1.12.43;UNKNOWN;msiexec /qb /x {C907C7AA-7EDB-B12D-B755-0AC4A7A1061C}
GLOBAL IMAGING ONLINE - GXD5 Ris;1.14.34;UNKNOWN;msiexec /qb /x {60D4780C-5D76-01BC-7CE9-E10D5D192E6E}
GLOBAL IMAGING ONLINE - GXD5 Ris;1.21.15;UNKNOWN;msiexec /qb /x {44C464C8-322D-C0CA-6AF3-F6CD9805501F}
GLUCOFACTS(TM) Deluxe Smart Launch;1.17.01;Bayer HealthCare;MsiExec.exe /qn /norestart /X{D5037E15-5231-41F1-92BE-D2E156157884}
GMPE E-learning Module;;;"""C:\HEYEX\unins000.exe"" /SILENT"
GNS400W-500W Trainer;;;"RunDll32 C:\PROGRA~2\COMMON~1\INSTAL~1\engine\6\INTEL3~1\ctor.dll,LaunchSetup ""C:\Program Files (x86)\InstallShield Installation Information\{C59E019B-0952-4B72-A382-68A72224F88F}\setup.exe"""
GNU Privacy Guard;2.2.6;The GnuPG Project;"""E:\Programmes\Internet\ThunderbirdPortable\ThunderbirdPortable_IMAP\GPG\Gpg4win\..\GnuPG\gnupg-uninstall.exe"""
GNU Privacy Guard;2.2.7;The GnuPG Project;"""F:\Telechargements\INTERNET\THUN\ThunderbirdPortable\Gpg4win\..\GnuPG\gnupg-uninstall.exe"""
Google Chrome;54.0.2840.99;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\54.0.2840.99\Installer\setup.exe"" --uninstall --multi-install --chrome --system-level"
Google Chrome;56.0.2924.87;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\56.0.2924.87\Installer\setup.exe"" --uninstall --system-level"
Google Chrome;56.0.2924.87;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\56.0.2924.87\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;57.0.2987.133;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\57.0.2987.133\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;58.0.3029.110;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\58.0.3029.110\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;62.0.3202.94;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\62.0.3202.94\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;62.0.3202.94;Google, Inc.;MsiExec.exe /qn /norestart /X{E093BF8F-9D6D-342E-ADAC-7BD6F40C3BDE}
Google Chrome;63.0.3239.132;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\63.0.3239.132\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;65.0.3325.181;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\65.0.3325.181\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;66.0.3359.181;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\66.0.3359.181\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;68.0.3440.106;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\68.0.3440.106\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;69.0.3497.100;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\69.0.3497.100\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;69.0.3497.100;Google, Inc.;MsiExec.exe /qn /norestart /X{E093BF8F-9D6D-342E-ADAC-7BD6F40C3BDE}
Google Chrome;70.0.3538.102;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\70.0.3538.102\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;70.0.3538.110;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\70.0.3538.110\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;70.0.3538.77;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\70.0.3538.77\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;71.0.3578.98;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\71.0.3578.98\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;72.0.3626.109;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.109\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;72.0.3626.119;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.119\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;72.0.3626.121;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.121\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;72.0.3626.81;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.81\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;73.0.3683.103;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\73.0.3683.103\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;73.0.3683.103;Google, Inc.;MsiExec.exe /qn /norestart /X{E093BF8F-9D6D-342E-ADAC-7BD6F40C3BDE}
Google Chrome;73.0.3683.75;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\73.0.3683.75\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;73.0.3683.86;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\73.0.3683.86\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.131;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\74.0.3729.131\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.131;Google Inc.;"""C:\Program Files\Google\Chrome\Application\74.0.3729.131\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.157;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\74.0.3729.157\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.169;Google Inc.;"""C:\Program Files (x86)\Google\Chrome\Application\74.0.3729.169\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.169;Google Inc.;"""C:\Program Files\Google\Chrome\Application\74.0.3729.169\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;74.0.3729.169;Google, Inc.;MsiExec.exe /qn /norestart /X{9A0CF2BF-1F53-3338-B711-53C165017D1A}
Google Chrome;75.0.3770.100;Google, Inc.;MsiExec.exe /qn /norestart /X{E093BF8F-9D6D-342E-ADAC-7BD6F40C3BDE}
Google Chrome;75.0.3770.100;Google LLC;"""C:\Program Files (x86)\Google\Chrome\Application\75.0.3770.100\Installer\setup.exe"" --uninstall --system-level"
Google Chrome;75.0.3770.100;Google LLC;"""C:\Program Files (x86)\Google\Chrome\Application\75.0.3770.100\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;75.0.3770.100;Google LLC;"""C:\Program Files\Google\Chrome\Application\75.0.3770.100\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;75.0.3770.80;Google, Inc.;MsiExec.exe /qn /norestart /X{E093BF8F-9D6D-342E-ADAC-7BD6F40C3BDE}
Google Chrome;75.0.3770.80;Google LLC;"""C:\Program Files (x86)\Google\Chrome\Application\75.0.3770.80\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Chrome;75.0.3770.90;Google LLC;"""C:\Program Files (x86)\Google\Chrome\Application\75.0.3770.90\Installer\setup.exe"" --uninstall --system-level --verbose-logging"
Google Toolbar for Internet Explorer;7.5.6710.2136;Google Inc.;"""C:\Program Files (x86)\Google\Google Toolbar\Component\GoogleToolbarManager_D6EBD55792EF3063.exe"" /uninstall"
GoTo Opener;1.0.470;LogMeIn, Inc.;MsiExec.exe /qn /norestart /X{351B54B2-1AFC-42A7-A8C0-9E05C26F0D1E}
GoTo Opener;1.0.473;LogMeIn, Inc.;MsiExec.exe /qn /norestart /X{1F803452-798F-49FB-A5DD-9F527F7017E4}
GoTo Opener;1.0.487;LogMeIn, Inc.;MsiExec.exe /qn /norestart /X{2C183CF0-3077-43D0-B001-F93AC5E68942}
GoTo Opener;1.0.491;LogMeIn, Inc.;MsiExec.exe /qn /norestart /X{D144D2C2-4F96-48B7-BB2A-E9185050B619}
GoTo Opener;1.0.494;LogMeIn, Inc.;MsiExec.exe /qn /norestart /X{665DF231-32BE-46BA-ABD2-B0D69F8314FF}
GoToAssist Customer 4.5.0.1610;4.5.0.1610;LogMeIn, Inc.;"""C:\Program Files (x86)\GoToAssist Remote Support Customer\1610\g2ax_uninstaller_customer.exe"" /uninstall ""/ResourceDll g2ax_customer_resource_win32_x86_fr.dll"""
GoToMeeting 7.30.0.6140;7.30.0.6140;CitrixOnline;C:\Users\SGrange.ADCHA.006\AppData\Local\Citrix\GoToMeeting\6140\G2MUninstall.exe /uninstall
GoToMeeting 7.31.0.6291;7.31.0.6291;CitrixOnline;C:\Program Files (x86)\Citrix\GoToMeeting\6291\G2MUninstall.exe /uninstall
GoToMeeting 8.13.1.7713;8.13.1.7713;LogMeIn, Inc.;C:\Users\CTaffin.ADCHA.159\AppData\Local\GoToMeeting\7713\G2MUninstall.exe /uninstall
GoToMeeting 8.14.0.7716;8.14.0.7716;LogMeIn, Inc.;C:\Program Files (x86)\GoToMeeting\7716\G2MUninstall.exe /uninstall
GoToMeeting 8.14.0.7716;8.14.0.7716;LogMeIn, Inc.;C:\Users\jarrizabalaga.ADCHA.013\AppData\Local\GoToMeeting\7716\G2MUninstall.exe /uninstall
GoToMeeting 8.15.0.7759;8.15.0.7759;LogMeIn, Inc.;C:\Program Files (x86)\GoToMeeting\7759\G2MUninstall.exe /uninstall
GoToMeeting 8.38.0.11185;8.38.0.11185;LogMeIn, Inc.;"""C:\Users\FPrellwitz.ADCHA.064\AppData\Local\GoToMeeting\11185\G2MUninstall.exe"" /uninstall"
GoToMeeting 8.39.0.11408;8.39.0.11408;LogMeIn, Inc.;"""\\home.adcha.local\USERS$\spelletier\Application Data\GoToMeeting\11408\G2MUninstall.exe"" /uninstall"
GoToMeeting 8.39.4.11882;8.39.4.11882;LogMeIn, Inc.;"""C:\Users\048383\AppData\Local\GoToMeeting\11882\G2MUninstall.exe"" /uninstall"
GPG 1.2.5;1.2.5;GPL;C:\Users\Public\GnuPG\uninst.exe
Gpg4win (3.1.0);3.1.0;The Gpg4win Project;"""E:\Programmes\Internet\ThunderbirdPortable\ThunderbirdPortable_IMAP\GPG\Gpg4win\gpg4win-uninstall.exe"""
Gpg4win (3.1.1);3.1.1;The Gpg4win Project;"""F:\Telechargements\INTERNET\THUN\ThunderbirdPortable\Gpg4win\gpg4win-uninstall.exe"""
Grippe0 version 1.0.0.1;1.0.0.1;QOVEO;"""c:\Grippe0\unins000.exe"" /SILENT"
GroupWise;8.0.2;Novell;MsiExec.exe /qn /norestart /X{2914BE99-849B-4BE3-976B-62F5E9E690E9}
GXD5 AutoUpdater;1.0.06000;Global Imaging OnLine;MsiExec.exe /qn /norestart /X{267F5912-4E80-4956-AE16-B0926437CA42}
GXD5 Spooler;1.2.00005;Global Imaging OnLine;MsiExec.exe /qn /norestart /X{C344C833-F681-4636-9EFA-798B27111A3F}
GXD5 Viewer;001.007.00121;NGI HEALTHCARE IT;MsiExec.exe /qn /norestart /X{d0ef705b-a881-43eb-80e3-9f7997fd0874}
HandBrake 1.2.2;1.2.2;;"""C:\Program Files\HandBrake\uninst.exe"""
HealthShare [HEALTHSHARE];1.00.0000;InterSystems Corporation;"""C:\Program Files (x86)\InstallShield Installation Information\{07dd0d0b-6f04-401f-be45-3c704bb159c7}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
HealthShare [HEALTHSHARE];1.00.0000;InterSystems Corporation;"""C:\Program Files (x86)\InstallShield Installation Information\{21e9d3d2-ba5f-45eb-9110-21a4aa05ae47}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
HeartScore;;;\\home.adcha.local\USERS$\sandrieu\Desktop\HeartScore\Uninstall.exe
Heidelberg Eye Explorer;;;"""C:\windows\IsUninst.exe"" -fC:\HEYEX\heyex.isu -cC:\HEYEX\_UNODBC.DLL"
